id,artist_id,release_id,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,hotttnesss,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,year
SOMZWCG12A8C13C480,ARD7TVE1187B99BFB1,300848,0,0,0.643,0.58521,0.834,0.58521,218.93179,0.247,0.60211999,1,0.736,-11.197,0,0.636,218.932,0.779,0.28519,92.198,4,0.778,0,0
SOCIWDW12A8C13D406,ARMJAGH1187FB546F3,300822,0,1,0.007,0.71054,1,0.20627,148.03546,0.148,-1,6,0.169,-9.843,0,0.43,137.915,0.969,0.20627,121.274,4,0.384,0,1969
SOXVLOJ12AB0189215,ARKRRTF1187B9984DA,514953,0,0,0.98,0.73152,0.98,0.73152,177.47546,0.282,-1,8,0.643,-9.689,1,0.565,172.304,0.482,0.42132,100.07,1,0,0,0
SONHOTT12A8C13493C,AR7G5I41187FB4CE6C,287650,0,1,0.017,1.30621,0.809,0.81002,233.40363,0,-1,0,0.751,-9.013,1,0.749,217.124,0.601,0.56254,119.293,4,0,0,1982
SOFSOCN12A8C143F5D,ARXR32B1187FB57099,611336,0,0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.604500739,2,0.092,-4.501,1,0.371,198.699,1,0.13576,129.738,4,0.562,0,2007
SOYMRWW12A6D4FAB14,ARKFYS91187B98E58F,41838,0,0,0.121,1.17118,0.438,0.74856,267.7024,2.264,-1,5,0.635,-9.323,1,0.557,254.27,0.136,0.53929,147.782,3,0.454,0,0
SOMJBYD12A6D4F8557,ARD0S291187B9B7BF5,25824,0,0,0.709,0.27253,0.709,0.27253,114.78159,0.096,-1,1,0,-17.302,1,0,114.782,0.467,0.05611,111.787,1,0,0,0
SOHKNRJ12A6701D1F8,AR10USD1187B99F3F1,8876,0,0,0.142,0.65428,0.234,0.65428,189.57016,0.319,-1,4,0,-11.642,0,0.16,181.023,0.292,0.36129,101.43,3,0.408,0,0
SOIAZJW12AB01853F1,AR8ZCNI1187B9A069B,358182,0,0,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.265861049,4,0.717,-13.496,1,0.652,258.99,0.121,1.22595,86.643,4,0.487,0,1984
SOUDSGM12AC9618304,ARNTLGG11E2835DDB9,692313,0,0,0.047,0.62445,1,0.09933,266.39628,0.084,-1,7,0.053,-6.697,0,0.473,261.747,1,0.09933,114.041,4,0.878,0,0
SOQHXMF12AB0182363,ARGSJW91187B9B1D6B,539081,0,0,0.873,0.11194,0.873,0.11194,218.77506,2.125,0,5,0.354,-10.021,0,0.485,207.012,0.229,0.11194,146.765,1,0,0,0
SOKEJEJ12A8C13E0D0,ARC43071187B990240,163874,0,0,0.018,1.45439,1,0.42896,245.21098,0.357,0.265861049,7,0.07,-7.545,1,0.686,227.48,0.728,0.1727,117.975,4,0.835,0,0
SOMUYGI12AB0188633,ARL7K851187B99ACD2,575792,0,0,0.013,1.2229,0.699,0.29639,226.35057,0,0,9,0.205,-6.632,1,0.305,221.553,1,0.06508,130.04,4,0,0,0
SORAMLE12AB017C8B0,ARHHO3O1187B989413,815863,0,0,1,0.46223,1,0.46223,191.84281,0.38,0,10,0,-7.75,0,0.198,188.424,0.774,0.23506,137.334,1,0.319,0,0
SOBONFF12A6D4F84D8,ARIK43K1187B9AE54C,25811,0,1,0.191,0.82842,1,0.82842,307.3824,0.612,-1,3,0.524,-8.346,1,0.533,296.658,0.389,0.58901,125.197,3,0.211,0,1986
SOHUOAP12A8AE488E9,ARD842G1187B997376,135122,0,2,0.507,1.32118,0,0.30065,491.12771,0,0.405115722,7,1,-8.576,1,0.829,486.034,0.377,0.05047,119.826,4,0.756,0,1987
SOUQQEA12A8C134B1B,ARIG6O41187B988BDD,149958,0,0,0.125,1.19076,0.768,0.24795,228.5971,0.223,0.334706549,8,0.041,-16.11,1,0.516,217.426,0.767,0.08584,127.756,5,0.579,0,0
SOILPQQ12AB017E82A,AR1ZHYZ1187FB3C717,535188,0,0,0.443,0.90668,0,0.27615,599.24853,1.193,-1,6,0.06,-8.032,1,0.346,591.999,0.48,0.12168,99.273,4,0.158,0,0
SOXLBJT12A8C140925,ARYKCQI1187FB3B18F,372309,0,0,0.03,0.8752,1,0.05728,290.29832,0.145,0.684136191,7,0.725,-5.271,1,0.756,285.605,0.238,0.05728,150.062,4,0.931,0,2004
